Date,Address,Postcode,Price,Type,Ownership,NewBuild
2014-04-11,"12 Stubbins Street, Stubbins",BL0 0NJ,123000,Terraced,"Freehold",No
2014-04-10,"45 George Road, Ramsbottom",BL0 9NQ,91000,Terraced,"Freehold",No
2014-04-09,"1 Regent Street, Ramsbottom",BL0 9PF,100000,Terraced,"Freehold",No
2014-04-09,"1 Cobden Mews Square Street, Ramsbottom",BL0 9GB,239950,Terraced,"Leasehold",No
2014-04-04,"48 Stanley Street, Ramsbottom",BL0 9JG,124950,Terraced,"Leasehold",No
2014-04-04,"198 Bolton Road West, Ramsbottom",BL0 9PE,110000,Terraced,"Leasehold",No
2014-04-04,"8 Baytree Grove, Ramsbottom",BL0 9UF,148950,Semi-detached,"Leasehold",No
2014-04-03,"75 Market Street, Edenfield",BL0 0JQ,170000,Terraced,"Freehold",No
2014-03-31,"25 Marlborough Close, Ramsbottom",BL0 9YU,295000,Detached,"Leasehold",No
2014-03-31,"8 Roseberry Close, Ramsbottom",BL0 9FQ,160000,Semi-detached,"Leasehold",No
2014-03-28,"27 Grants Lane, Ramsbottom",BL0 9DB,152000,Terraced,"Leasehold",No
2014-03-28,"67 Bury Road, Edenfield",BL0 0EN,102000,Terraced,"Freehold",No
2014-03-28,"314 Rochdale Road, Edenfield",BL0 0RN,83000,Terraced,"Leasehold",No
2014-03-27,"87 Callender Street, Ramsbottom",BL0 9DU,130000,Terraced,"Leasehold",No
2014-03-25,"25 Moray Close, Ramsbottom",BL0 9YS,137300,Semi-detached,"Leasehold",No
2014-03-21,"4 Carr Bank Road, Ramsbottom",BL0 9DN,218000,Detached,"Leasehold",No
2014-03-20,"12 Sims Close, Ramsbottom",BL0 9NT,194000,Terraced,"Freehold",No
2014-03-18,"17 Cotswold Close, Ramsbottom",BL0 9LJ,161000,Semi-detached,"Leasehold",No
2014-03-18,"10 Bye Road, Ramsbottom",BL0 0HH,179950,Semi-detached,"Leasehold",No
2014-03-18,"8 Ringwood Avenue, Ramsbottom",BL0 9PW,240000,Detached,"Leasehold",No
2014-03-17,"7 South Terrace, Ramsbottom",BL0 0NY,164000,Terraced,"Leasehold",No
2014-03-17,"18 Marlborough Close, Ramsbottom",BL0 9YU,235000,Detached,"Leasehold",No
2014-03-16,"26 Fernview Drive, Ramsbottom",BL0 9XG,138000,Semi-detached,"Leasehold",No
2014-03-14,"115 Peel Brow, Ramsbottom",BL0 0AZ,117102,Terraced,"Leasehold",No
2014-03-11,"24 Harcles Drive, Ramsbottom",BL0 9UE,145000,Semi-detached,"Leasehold",No
2014-03-10,"Flat 3, The Conservative Club, 82 Market Street, Edenfield",BL0 0JL,130000,Flat,"Leasehold",No
2014-03-07,"1 Birch Grove, Ramsbottom",BL0 9RP,180000,Semi-detached,"Leasehold",No
2014-03-06,"146 Bolton Road West, Ramsbottom",BL0 9PD,116500,Terraced,"Freehold",No
2014-03-06,"30 Roseberry Close, Ramsbottom",BL0 9FQ,182000,Semi-detached,"Leasehold",No
2014-03-05,"71 Victoria Street, Ramsbottom",BL0 9ED,116000,Terraced,"Leasehold",No
