Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
BB1 2LN,53.718961,-2.451275,370317,424822,SD703248,1980-01-01 00:00:00,
BB1 2NH,53.72569,-2.442375,370909,425567,SD709255,1980-01-01 00:00:00,
BB1 2NJ,53.725025,-2.442383,370908,425493,SD709254,1980-01-01 00:00:00,
BB1 2NL,53.721306,-2.441996,370931,425079,SD709250,1980-01-01 00:00:00,
BB1 2NP,53.717741,-2.43373,371474,424679,SD714246,1980-01-01 00:00:00,
BB1 2NR,53.718724,-2.432634,371547,424788,SD715247,1980-01-01 00:00:00,
BB1 2NS,53.718582,-2.432314,371568,424772,SD715247,1980-01-01 00:00:00,
BB1 2NT,53.717481,-2.430863,371663,424649,SD716246,1980-01-01 00:00:00,
BB1 2NY,53.716768,-2.429295,371766,424569,SD717245,1980-01-01 00:00:00,
BB1 2PA,53.71659,-2.428824,371797,424549,SD717245,1980-01-01 00:00:00,
BB1 2PQ,53.703802,-2.407623,373188,423118,SD731231,1980-01-01 00:00:00,
BB2 4DU,53.724456,-2.489404,367805,425450,SD678254,2006-08-01 00:00:00,
BB2 4FA,53.725843,-2.493013,367568,425606,SD675256,2002-07-01 00:00:00,
BB2 4FB,53.724881,-2.49091,367706,425498,SD677254,2001-06-01 00:00:00,
BB2 4FD,53.725142,-2.493035,367566,425528,SD675255,2000-12-01 00:00:00,
BB2 4FE,53.724423,-2.493147,367558,425448,SD675254,2000-06-01 00:00:00,
BB2 4FF,53.723757,-2.493215,367553,425374,SD675253,2000-12-01 00:00:00,
BB2 4FG,53.723327,-2.493013,367566,425326,SD675253,2006-07-01 00:00:00,
BB2 4FH,53.723665,-2.493851,367511,425364,SD675253,2002-05-01 00:00:00,
BB2 4FJ,53.725355,-2.495811,367383,425553,SD673255,2003-11-01 00:00:00,
BB2 4FL,53.725268,-2.495112,367429,425543,SD674255,2003-09-01 00:00:00,
BB2 4FN,53.725755,-2.494845,367447,425597,SD674255,2005-01-01 00:00:00,
BB2 4FP,53.726396,-2.494171,367492,425668,SD674256,2003-03-01 00:00:00,
BB2 4FQ,53.726336,-2.493412,367542,425661,SD675256,2002-12-01 00:00:00,
BB2 4FR,53.726615,-2.493203,367556,425692,SD675256,2003-06-01 00:00:00,
BB2 4FS,53.727294,-2.494348,367481,425768,SD674257,2005-06-01 00:00:00,
BB2 4FT,53.726438,-2.494778,367452,425673,SD674256,2005-08-01 00:00:00,
BB2 4FU,53.723084,-2.490874,367707,425298,SD677252,2000-12-01 00:00:00,
BB2 4FW,53.722635,-2.490747,367715,425248,SD677252,2000-12-01 00:00:00,
BB2 4FX,53.723152,-2.489601,367791,425305,SD677253,2002-05-01 00:00:00,
BB2 4FY,53.723766,-2.491185,367687,425374,SD676253,2001-12-01 00:00:00,
BB2 4FZ,53.722437,-2.493064,367562,425227,SD675252,2003-01-01 00:00:00,
BB2 4GR,53.723165,-2.495042,367432,425309,SD674253,2003-10-01 00:00:00,
BB2 4GS,53.723722,-2.49517,367424,425371,SD674253,2004-05-01 00:00:00,
BB2 4HF,53.720155,-2.488354,367871,424971,SD678249,1997-06-01 00:00:00,
BB2 4HH,53.720105,-2.485187,368080,424964,SD680249,1997-06-01 00:00:00,
BB2 4HN,53.720201,-2.485839,368037,424975,SD680249,1997-06-01 00:00:00,
BB2 4HQ,53.719823,-2.485971,368028,424933,SD680249,1997-06-01 00:00:00,
BB2 4JB,53.718982,-2.484977,368093,424839,SD680248,1997-06-01 00:00:00,
BB2 4JD,53.717351,-2.488307,367872,424659,SD678246,2000-12-01 00:00:00,
BB2 4JH,53.721465,-2.486733,367979,425116,SD679251,1998-06-01 00:00:00,
BB2 4JJ,53.721839,-2.491875,367640,425160,SD676251,2005-08-01 00:00:00,
BB2 4JS,53.724767,-2.488059,367894,425484,SD678254,1980-01-01 00:00:00,
BB2 4JT,53.724718,-2.486755,367980,425478,SD679254,1980-01-01 00:00:00,
BB2 4JU,53.724382,-2.487691,367918,425441,SD679254,1980-01-01 00:00:00,
BB2 4JX,53.724042,-2.487202,367950,425403,SD679254,1980-01-01 00:00:00,
BB2 4JY,53.723836,-2.487018,367962,425380,SD679253,1980-01-01 00:00:00,
BB2 4JZ,53.723425,-2.484391,368135,425333,SD681253,1980-01-01 00:00:00,
BB2 4LA,53.722297,-2.485485,368062,425208,SD680252,1980-01-01 00:00:00,
BB2 4LB,53.720508,-2.485555,368056,425009,SD680250,1980-01-01 00:00:00,
BB2 4LE,53.718737,-2.483262,368206,424811,SD682248,1995-12-01 00:00:00,
BB2 4LF,53.720143,-2.486869,367969,424969,SD679249,1997-06-01 00:00:00,
BB2 4LH,53.719203,-2.485964,368028,424864,SD680248,1997-06-01 00:00:00,
BB2 4NA,53.721989,-2.499241,367154,425180,SD671251,2005-08-01 00:00:00,
BB2 4SA,53.72397,-2.498174,367226,425400,SD672254,1995-07-01 00:00:00,
BB2 4SB,53.72366,-2.497185,367291,425365,SD672253,1995-07-01 00:00:00,
BB2 4SE,53.72397,-2.498174,367226,425400,SD672254,1995-07-01 00:00:00,1997-06-01 00:00:00
BB2 4SF,53.719565,-2.487575,367922,424905,SD679249,1997-06-01 00:00:00,
BB2 4SG,53.719377,-2.487269,367942,424884,SD679248,1997-06-01 00:00:00,
BB2 4SU,53.718946,-2.489356,367804,424837,SD678248,1998-12-01 00:00:00,
BB2 4SX,53.718556,-2.49023,367746,424794,SD677247,1998-12-01 00:00:00,
BB2 4TL,53.719528,-2.49009,367756,424902,SD677249,1998-12-01 00:00:00,
BB2 4TN,53.71868,-2.488655,367850,424807,SD678248,1998-12-01 00:00:00,
BB2 4UA,53.717786,-2.485251,368074,424706,SD680247,1998-12-01 00:00:00,
BB2 4UJ,53.721735,-2.488858,367839,425147,SD678251,2000-06-01 00:00:00,
BB2 4UL,53.722491,-2.488594,367857,425231,SD678252,2000-12-01 00:00:00,
BB2 4UN,53.72208,-2.490104,367757,425186,SD677251,2000-12-01 00:00:00,
BB2 4UP,53.721916,-2.488375,367871,425167,SD678251,2001-12-01 00:00:00,
BB2 4UQ,53.720778,-2.489771,367778,425041,SD677250,2000-12-01 00:00:00,
BB2 4UR,53.720457,-2.491343,367674,425006,SD676250,2002-06-01 00:00:00,
BB2 4WA,53.720457,-2.491343,367674,425006,SD676250,2003-08-01 00:00:00,2003-09-01 00:00:00
BB2 4WP,53.720457,-2.491343,367674,425006,SD676250,2004-07-01 00:00:00,2004-08-01 00:00:00
BB2 4WQ,53.720457,-2.491343,367674,425006,SD676250,2004-03-01 00:00:00,2005-07-01 00:00:00
BB2 4WR,53.720457,-2.491343,367674,425006,SD676250,2004-02-01 00:00:00,2005-07-01 00:00:00
BB2 4WW,53.720457,-2.491343,367674,425006,SD676250,2003-04-01 00:00:00,2005-10-01 00:00:00
